geoid,geoid20,year,denom_total_pop,all_crime_count,all_crime_rate,parti_violent_rate,parti_violent_count,parti_property_rate,parti_property_count,partii_rate,partii_count,_merge
1400000US06037101110,6037101110,2022,4014,163,406.07874,27.404085,11,144.49426,58,234.18037,94,Master only (1)
1400000US06037101122,6037101122,2022,4164,55,132.08453,2.4015369,1,64.841499,27,62.43996,26,Master only (1)
1400000US06037101220,6037101220,2022,3481,129,370.58316,20.109163,7,140.76414,49,209.70985,73,Master only (1)
1400000US06037101221,6037101221,2022,3756,98,260.91586,15.974441,6,119.8083,45,125.13312,47,Master only (1)
1400000US06037101222,6037101222,2022,2808,116,413.10541,35.612537,10,153.1339,43,224.35898,63,Master only (1)
1400000US06037101300,6037101300,2022,4071,117,287.39868,22.10759,9,159.66592,65,103.16875,42,Master only (1)
1400000US06037101400,6037101400,2022,3490,118,338.10889,31.518625,11,191.97708,67,111.74785,39,Master only (1)
1400000US06037102103,6037102103,2022,1834,103,561.61395,70.883316,13,359.86914,66,130.86151,24,Master only (1)
1400000US06037102104,6037102104,2022,4033,79,195.88396,9.9181747,4,114.05901,46,69.427223,28,Master only (1)
1400000US06037102105,6037102105,2022,1610,38,236.02484,12.42236,2,99.378883,16,124.2236,20,Master only (1)
1400000US06037102107,6037102107,2022,3577,114,318.70282,11.182555,4,159.35141,57,145.37321,52,Master only (1)
1400000US06037103101,6037103101,2022,2726,69,253.11812,14.673514,4,117.38811,32,121.0565,33,Master only (1)
1400000US06037103102,6037103102,2022,4550,185,406.59341,46.153847,21,197.8022,90,160.43956,73,Master only (1)
1400000US06037103201,6037103201,2022,4291,121,281.98557,18.643673,8,111.86204,48,151.47984,65,Master only (1)
1400000US06037103202,6037103202,2022,2010,94,467.66168,29.850746,6,149.25374,30,283.58209,57,Master only (1)
1400000US06037103300,6037103300,2022,3816,117,306.60376,5.2410903,2,209.6436,80,89.098534,34,Master only (1)
1400000US06037103401,6037103401,2022,2391,115,480.97031,16.729403,4,276.03513,66,188.20576,45,Master only (1)
1400000US06037103402,6037103402,2022,3829,85,221.99008,0,0,133.19405,51,88.796028,34,Master only (1)
1400000US06037104103,6037104103,2022,4281,96,224.24667,16.35132,7,74.748894,32,133.14645,57,Master only (1)
1400000US06037104105,6037104105,2022,6195,167,269.57224,27.441484,17,85.552864,53,156.57788,97,Master only (1)
